k,inertia,silhouette_score,train_seconds
2,45572.567328974175,0.14237657103136558,0.11560719995759428
3,43005.638433967884,0.1350045927381684,0.05794760002754629
4,41298.46641334209,0.11988057076236919,0.07924270001240075
5,39817.961981103,0.09538448146460528,0.11508270003832877
6,38287.85229174427,0.10712192284769788,0.12947940011508763
7,37041.9504103262,0.10706802141774449,0.14983469992876053
8,36134.722179822726,0.11004439528652846,0.112692000111565
9,34825.31166574516,0.09869535206496267,0.12423519999720156
10,33676.8145904254,0.09621976881724187,0.14766020001843572
