variable,cluster_0_mean_std,cluster_1_mean_std,diferencia_std_abs
YearBuilt,0.8110471066058751,-0.49882985760272675,1.309876964208602
FullBath,0.8093352849661397,-0.4977770115499707,1.3071122965161104
OverallQual,0.8075904715865906,-0.4967038741174161,1.3042943457040068
GarageYrBlt,0.7589342294306295,-0.4667781322604361,1.2257123616910657
GarageCars,0.6945206603736049,-0.42716093713243825,1.1216815975060432
YearRemodAdd,0.6706491070540561,-0.41247887557748736,1.0831279826315434
GarageArea,0.6229998281452467,-0.38317246067340394,1.0061722888186506
GrLivArea,0.6100729355924281,-0.37522184976702466,0.9852947853594528
TotalBsmtSF,0.5019435914870902,-0.3087175186579887,0.8106611101450789
TotRmsAbvGrd,0.5004362012719188,-0.30779040697697674,0.8082266082488956
1stFlrSF,0.4498204782158083,-0.276659497663705,0.7264799758795133
BsmtUnfSF,0.3876494515848668,-0.2384215653552943,0.6260710169401611
OpenPorchSF,0.3744090454056579,-0.23027812969640019,0.604687175102058
WoodDeckSF,0.3740075173254421,-0.23003117216033817,0.6040386894857802
MasVnrArea,0.3656552122177931,-0.22489413494811175,0.5905493471659049
2ndFlrSF,0.3478067223360473,-0.21391652391464858,0.5617232462506959
Fireplaces,0.3437352741330937,-0.21141240311725673,0.5551476772503504
HalfBath,0.3224250702658105,-0.1983056848095029,0.5207307550753134
OverallCond,-0.3118658137043854,0.19181127480048538,0.5036770885048707
LotFrontage,0.29688198441561003,-0.18259555678659156,0.4794775412022016
BsmtFinSF2,-0.2091103617705359,0.1286121251597544,0.3377224869302903
EnclosedPorch,-0.20313104670809437,0.12493458182488992,0.32806562853298427
KitchenAbvGr,-0.19512252806223768,0.12000898849845652,0.3151315165606942
BedroomAbvGr,0.1902448070379119,-0.11700897424013129,0.3072537812780432
BsmtHalfBath,-0.1883108690926161,0.1158195168312993,0.3041303859239154
BsmtFinSF1,0.18120964859962543,-0.11145195201481392,0.29266160061443935
ScreenPorch,-0.14920354675749012,0.09176678318270413,0.24097032994019424
MSSubClass,-0.12291561995031956,0.07559854501369197,0.19851416496401153
3SsnPorch,-0.11492779745810933,0.07068568073750973,0.18561347819561907
LotArea,0.11458885648054677,-0.07047721703892046,0.18506607351946724
PoolArea,0.11168586290384748,-0.06869174753820707,0.18037761044205455
LowQualFinSF,-0.1057367288801998,0.065032766877645,0.1707694957578448
BsmtFullBath,0.06764404414359496,-0.041604080247609254,0.10924812439120421
MiscVal,-0.047506475928987615,0.029218584752784403,0.07672506068177201
YrSold,-0.014304202680084298,0.008797717577631588,0.02310192025771589
MoSold,-0.0013218205051995233,0.0008129780983308185,0.002134798603530342
