kernel,C,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,train_seconds
linear,0.1,0.9691780821917808,0.6216352201257861,0.6091189512242144,0.6216352201257861,0.6152653151656143,0.9660174726960672,0.1816001001279801
linear,1.0,0.9486301369863014,0.7915723270440251,0.8818080357142857,0.7915723270440251,0.8015141821283857,0.9516111008860726,0.152364999987185
linear,10.0,0.9212328767123288,0.7573584905660377,0.8395400895400895,0.7573584905660377,0.7594764130668387,0.9279123803246689,0.12865229998715222
rbf,0.1,0.9075342465753424,0.3333333333333333,0.3025114155251141,0.3333333333333333,0.31717534410532616,0.8635424608347064,0.153870299924165
rbf,1.0,0.9657534246575342,0.5962264150943396,0.6145143041861969,0.5962264150943396,0.6048689138576778,0.9618862551947052,0.2463823000434786
rbf,10.0,0.9691780821917808,0.609559748427673,0.6175373134328358,0.609559748427673,0.6134191012239792,0.9655955471191021,0.1756992000155151
