feature,importance
cat__Neighborhood_Veenker,4.5369918e-05
cat__Condition1_PosA,0.0
num__BsmtHalfBath,0.0
cat__MiscFeature_Gar2,0.0
cat__MiscFeature_None,0.0
cat__MiscFeature_Othr,0.0
cat__MiscFeature_Shed,0.0
cat__Fence_MnWw,0.0
cat__PoolQC_None,0.0
cat__PoolQC_Gd,0.0
cat__PoolQC_Fa,0.0
cat__MasVnrType_BrkCmn,0.0
cat__ExterQual_Fa,0.0
cat__ExterCond_Fa,0.0
cat__ExterCond_Ex,0.0
cat__Exterior1st_Stone,0.0
cat__Exterior2nd_Brk Cmn,0.0
cat__Exterior2nd_BrkFace,0.0
cat__Exterior1st_WdShing,0.0
cat__Exterior2nd_CBlock,0.0
cat__Exterior2nd_AsphShn,0.0
cat__Exterior1st_AsphShn,0.0
cat__RoofMatl_Tar&Grv,0.0
cat__RoofMatl_ClyTile,0.0
cat__RoofMatl_Metal,0.0
cat__RoofMatl_Roll,0.0
cat__Exterior2nd_Other,0.0
cat__Exterior1st_CBlock,0.0
cat__Exterior1st_BrkComm,0.0
cat__RoofMatl_WdShngl,0.0
cat__RoofMatl_WdShake,0.0
cat__Condition2_Feedr,0.0
cat__RoofStyle_Gambrel,0.0
cat__RoofStyle_Flat,0.0
cat__RoofStyle_Mansard,0.0
cat__HouseStyle_2.5Unf,0.0
cat__HouseStyle_SFoyer,0.0
cat__HouseStyle_1.5Unf,0.0
cat__HouseStyle_2.5Fin,0.0
cat__HouseStyle_1.5Fin,0.0
cat__BldgType_TwnhsE,0.0
cat__BldgType_Twnhs,0.0
cat__Exterior1st_ImStucc,0.0
cat__BldgType_2fmCon,0.0
cat__Neighborhood_NPkVill,0.0
cat__Neighborhood_NWAmes,0.0
cat__Condition2_RRNn,0.0
cat__Condition2_RRAe,0.0
cat__Condition2_RRAn,0.0
cat__Condition2_PosA,0.0
cat__RoofStyle_Shed,0.0
cat__Condition1_RRNn,0.0
cat__Condition2_Artery,0.0
cat__Condition1_RRNe,0.0
cat__MiscFeature_TenC,0.0
cat__SaleType_COD,0.0
cat__LandSlope_Sev,0.0
cat__Neighborhood_Sawyer,0.0
cat__Neighborhood_SawyerW,0.0
cat__ExterCond_Po,0.0
cat__Foundation_Stone,0.0
cat__Foundation_Slab,0.0
cat__Exterior2nd_Stone,0.0
cat__BsmtCond_Gd,0.0
cat__BsmtQual_None,0.0
cat__Neighborhood_MeadowV,0.0
cat__Neighborhood_Gilbert,0.0
cat__Neighborhood_Blmngtn,0.0
cat__Neighborhood_Blueste,0.0
cat__Neighborhood_BrDale,0.0
cat__Neighborhood_CollgCr,0.0
cat__Neighborhood_IDOTRR,0.0
cat__LotShape_IR2,0.0
cat__Exterior2nd_Wd Shng,0.0
cat__Exterior2nd_Wd Sdng,0.0
cat__KitchenQual_Fa,0.0
cat__Functional_Maj1,0.0
cat__Functional_Min1,0.0
cat__Functional_Min2,0.0
cat__BsmtFinType2_GLQ,0.0
cat__BsmtFinType2_BLQ,0.0
cat__BsmtFinType2_LwQ,0.0
cat__BsmtFinType2_None,0.0
cat__Heating_OthW,0.0
